"FECHA DEL CURSO","CODIGO DEPTAMENTPO","DEPARTAMENTO","CODIGO MUNICIPIO","MUNICIPIO","AREA","CURSO","NUMERO DE PARTICIPANTE EXTERNO","NUMERO DE PARTICIPANTE INTERNO","TOTAL PARTICIPANTES","COSTO UNITARIO","TOTAL RECAUDO"
"2017 Feb 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","FORMACIÓN BÁSICA EN METROLOGÍA","METROLOGÍA FÍSICA","10","0","10","986,100","9,861,000"
"2017 Mar 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","FORMACIÓN BÁSICA EN METROLOGÍA","NORMA NTC-ISO/IEC 17043:2023 REQUISITOS TÉCNICOS Y MÉTODOS ESTADÍSTICOS","18","1","19","986,100","18,735,900"
"2017 Mar 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","FORMACIÓN BÁSICA EN METROLOGÍA","ESTADÍSTICA BÁSICA","10","0","10","986,100","9,861,000"
"2017 Mar 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","NÚCLEO TÉCNICO EN METROLOGÍA FÍSICA","METROLOGÍA DE FUERZA","2","1","3","1,246,300","3,738,900"
"2017 Mar 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","FORMACIÓN BÁSICA EN METROLOGÍA","INCERTIDUMBRE DE LAS MEDICIONES","9","1","10","986,100","9,861,000"
"2017 Mar 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","FORMACIÓN BÁSICA EN METROLOGÍA","DIMENSIONAL BASICO","5","0","5","1,246,300","6,231,500"
"2017 Mar 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","NÚCLEO TÉCNICO EN METROLOGÍA FÍSICA","METROLOGÍA DE GRANDES VOLÚMENES","4","0","4","986,100","3,944,400"
"2017 Mar 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","NÚCLEO TÉCNICO EN METROLOGÍA FÍSICA","MASA NIVEL 1","5","2","7","1,506,500","10,545,500"
"2017 Mar 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","NÚCLEO TÉCNICO EN METROLOGÍA FÍSICA","MASA NIVEL 2","6","0","6","1,506,500","9,039,000"
"2017 Mar 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","NÚCLEO TÉCNICO EN METROLOGÍA FÍSICA","METROLOGÍA DE PEQUEÑOS VOLÚMENES","8","0","8","986,100","7,888,800"
"2017 Mar 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","NÚCLEO TÉCNICO EN METROLOGÍA FÍSICA","METROLOGÍA DE TEMPERATURA Y HUMEDAD","10","0","10","1,506,500","15,065,000"
"2017 Apr 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","CURSO DE FORMACIÓN POR DEMANDA","INCERTIDUMBRE DE MEDICIÓN EN ANÁLISIS QUÍMICOS CUANTITATIVOS","5","2","7","1,109,500","7,766,500"
"2017 Apr 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","CURSO DE FORMACIÓN POR DEMANDA","VALIDACIÓN MÉTODOS QUÍMICOS CUANTITATIVOS","9","0","9","1,109,500","9,985,500"
"2024 Apr 09 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","CURSO DE FORMACIÓN POR DEMANDA","METROLOGÍA DE LONGITUD NIVEL 2","0","1","1","0","0"
"2017 May 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","FORMACIÓN BÁSICA EN METROLOGÍA","NORMA NTC-ISO/IEC 17043:2023 REQUISITOS TÉCNICOS Y MÉTODOS ESTADÍSTICOS","6","3","9","986,101","8,874,909"
"2017 May 01 05:00:00 AM","11","BOGOTA, D.C.","11,001","BOGOTA, D.C.","FORMACIÓN BÁSICA EN METROLOGÍA","ESTADÍSTICA BÁSICA","3","6","9","986,100","8,874,900"
